"Ocean","Longitude","Latitude","Scientific name","Order","Mean","CV","Reference"
"South IP",-149,-17,"Turbinaria ornata","Fucales",0.77,0.311688311688312,"Steinberg 1986"
"South IP",-149,-18,"Sargassum sp.","Fucales",0.35,0.342857142857143,"Steinberg 1986"
"South IP",-149,-18,"Turbinaria ornata","Fucales",0.93,0.236559139784946,"Steinberg 1986"
"South IP",-149,-23,"Turbinaria ornata","Fucales",0.97,0.45360824742268,"Steinberg 1986"
"South IP",-149,-23,"Sargassum sp.","Fucales",0.26,0.269230769230769,"Steinberg 1986"
"North Atlantic",-15,28,"Cystoseira compressa","Fucales",4.83,NA,"Chkhikvishvili & Ramazanov 2000"
"North Atlantic",-15,28,"Dictyota ciliolata","Dictyotales",0.08,NA,"Chkhikvishvili & Ramazanov 2000"
"North Atlantic",-15,28,"Dictyopteris membranaceae","Dictyotales",0.09,NA,"Chkhikvishvili & Ramazanov 2000"
"North Atlantic",-15,28,"Halopteris scoparia","Sphaceraliales",0.16,NA,"Chkhikvishvili & Ramazanov 2000"
"North Atlantic",-15,28,"Lobophora variegata","Dictyotales",1.2,NA,"Chkhikvishvili & Ramazanov 2000"
"North Atlantic",-15,28,"Padina pavonica","Dictyotales",0.69,NA,"Chkhikvishvili & Ramazanov 2000"
"North Atlantic",-15,28,"Fucus spiralis","Fucales",2.17,NA,"Chkhikvishvili & Ramazanov 2000"
"North Atlantic",-15,28,"Sargassum furcatum","Fucales",2.97,NA,"Chkhikvishvili & Ramazanov 2000"
"North Atlantic",-15,28,"Stypopodium zonale","Dictyotales",1.22,NA,"Chkhikvishvili & Ramazanov 2000"
"North Atlantic",-15,28,"Zonaria tonznefortii","Dictyotales",1.06,NA,"Chkhikvishvili & Ramazanov 2000"
"North Atlantic",-15,28,"Cystoseira foeniculaceae","Fucales",2.16,NA,"Chkhikvishvili & Ramazanov 2000"
"North Atlantic",-15,28,"Sargassum desfontrainessi","Fucales",1.68,NA,"Chkhikvishvili & Ramazanov 2000"
"North Atlantic",-15,28,"Dictytota sp.1","Dictyotales",0.03,NA,"Chkhikvishvili & Ramazanov 2000"
"North IP",-151.516666666667,59.5,"Agarum clathratum","Laminariales",6.43,NA,"Dubois & Iken 2012"
"North IP",-151.516666666667,59.5,"Agarum clathratum","Laminariales",4.29,NA,"Dubois & Iken 2012"
"North IP",-151.516666666667,59.5,"Nereocystis luetkeana","Laminariales",1.93,NA,"Dubois & Iken 2012"
"North IP",-151.516666666667,59.5,"Nereocystis luetkeana","Laminariales",0.43,NA,"Dubois & Iken 2012"
"North IP",-151.516666666667,59.5,"Saccharina groenlandica","Laminariales",3.43,NA,"Dubois & Iken 2012"
"North IP",-151.516666666667,59.5,"Saccharina groenlandica","Laminariales",4.36,NA,"Dubois & Iken 2012"
"North IP",-151.516666666667,59.5,"Agarum clathratum","Laminariales",4.71,NA,"Dubois & Iken 2012"
"North IP",-151.516666666667,59.5,"Saccharina groenlandica","Laminariales",1.93,NA,"Dubois & Iken 2012"
"North IP",-151.516666666667,59.5,"Saccharina latissima","Laminariales",4.71,NA,"Dubois & Iken 2012"
"North IP",-151.516666666667,59.5,"Saccharina latissima","Laminariales",6.29,NA,"Dubois & Iken 2012"
"North IP",-151.516666666667,59.5,"Agarum clathratum","Laminariales",5.14,NA,"Dubois & Iken 2012"
"North IP",-151.516666666667,59.5,"Saccharina latissima","Laminariales",35.86,NA,"Dubois & Iken 2012"
"North IP",-151.516666666667,59.5,"Nereocystis luetkeana","Laminariales",0.29,NA,"Dubois & Iken 2012"
"North IP",-151.516666666667,59.5,"Saccharina groenlandica","Laminariales",1,NA,"Dubois & Iken 2012"
"North IP",-151.516666666667,59.5,"Saccharina latissima","Laminariales",35.71,NA,"Dubois & Iken 2012"
"North IP",-157,21,"Dictyota divaricata","Dictyotales",1.07,0.214953271028037,"Targett et al. 1995"
"North IP",-157,21,"Lobophora variegata","Dictyotales",0.81,0.271604938271605,"Targett et al. 1992"
"North IP",-157,21,"Sargassum echinocarpum","Fucales",1.38,0.181159420289855,"Targett et al. 1995"
"North IP",-157,21,"Padina japonica","Dictyotales",3.79,0.137203166226913,"Targett et al. 1995"
"North IP",-157,21,"Sargassum echinocarpum","Fucales",2.03,0.295566502463054,"Targett et al. 1995"
"North IP",-157,21,"Turbinaria ornata","Fucales",1.56,0.230769230769231,"Targett et al. 1995"
"North IP",-166.416666666667,53.6333333333333,"Eualaria fistulosa","Laminariales",4.4,0.225,"Schuster & Konar 2014"
"North IP",-166.416666666667,53.6333333333333,"Eualaria fistulosa","Laminariales",4.06,0.305418719211823,"Schuster & Konar 2014"
"North IP",-169.85,52.8833333333333,"Eualaria fistulosa","Laminariales",3.38,0.828402366863905,"Schuster & Konar 2014"
"North IP",-174.083333333333,52.7,"Eualaria fistulosa","Laminariales",5.13,0.175438596491228,"Schuster & Konar 2014"
"North IP",-174.083333333333,52.7,"Eualaria fistulosa","Laminariales",0.88,0.931818181818182,"Schuster & Konar 2014"
"North IP",-174.083333333333,52.7,"Eualaria fistulosa","Laminariales",4.16,0.177884615384615,"Schuster & Konar 2014"
"North IP",-176.6,51.8666666666667,"Eualaria fistulosa","Laminariales",2.81,0.263345195729537,"Schuster & Konar 2014"
"North IP",-177.633333333333,51.8166666666667,"Eualaria fistulosa","Laminariales",4.94,0.165991902834008,"Schuster & Konar 2014"
"North IP",-177.633333333333,51.9333333333333,"Eualaria fistulosa","Laminariales",3.13,0.795527156549521,"Schuster & Konar 2014"
"North IP",-178.066666666667,51.7833333333333,"Eualaria fistulosa","Laminariales",2,0.41,"Schuster & Konar 2014"
"North IP",-178.066666666667,51.7833333333333,"Eualaria fistulosa","Laminariales",3.34,0.0479041916167665,"Schuster & Konar 2014"
"North IP",-178.066666666667,51.7833333333333,"Eualaria fistulosa","Laminariales",3.06,0.26797385620915,"Schuster & Konar 2014"
"North IP",-178.066666666667,51.7833333333333,"Eualaria fistulosa","Laminariales",4.66,0.0708154506437768,"Schuster & Konar 2014"
"North IP",-178.066666666667,51.7833333333333,"Eualaria fistulosa","Laminariales",1.75,0.845714285714286,"Schuster & Konar 2014"
"North IP",-178.066666666667,51.7833333333333,"Eualaria fistulosa","Laminariales",3.44,0.479651162790698,"Schuster & Konar 2014"
"North IP",-178.066666666667,51.7833333333333,"Eualaria fistulosa","Laminariales",1.47,0.72108843537415,"Schuster & Konar 2014"
"North Atlantic",-2.2,36.8666666666667,"Cystoseira tamariscifolia","Fucales",8,NA,"Abdala-Díaz et al. 2006"
